ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
719	knowledge	knowledge	nn1	0.05	  	57974	124.86	141.76	10.85	99.90	138.97	195.80	39.50	52.96	77.26	46.20	415.03	37.84	70.34	69.68	51.59	158.17	366.30	163.62	0.12	0.56	0.04	0.08	0.12	0.40	0.07	0.15	0.09	0.06	0.43	0.23	0.69	0.74	0.41	0.71	0.78	0.66	14176	1085	9756	16593	25637	3775	4789	7383	4237	37795	377	1119	506	540	2609	5616	3409	23074	2261	979	3307	4847	4377	2747	2777	4834	3513	9203	197	319	156	214	377	392	606
720	film	film	nn1	0.07	  	57972	124.85	98.79	10.70	76.30	18.12	2.12	126.96	47.90	133.23	214.15	100.31	68.65	49.34	193.61	188.32	78.14	56.42	138.18	0.09	0.36	0.03	0.06	0.02	0.02	0.09	0.10	0.09	0.10	0.08	0.19	0.49	0.77	0.46	0.37	0.24	0.38	9879	1070	7451	2163	277	12133	4332	12731	19641	9135	684	785	1406	1971	1289	865	2879	17166	1453	687	2712	936	174	3414	1750	4884	5444	1674	160	226	163	237	197	121	349
721	rate	rate	nn1	0.02	  	57876	124.64	185.06	11.84	121.79	115.24	70.22	85.72	24.13	142.23	143.12	228.26	91.43	29.61	120.08	188.99	194.18	260.18	339.91	0.14	0.54	0.05	0.11	0.13	0.25	0.11	0.09	0.13	0.12	0.31	0.29	0.48	0.73	0.56	0.77	0.65	0.60	18506	1184	11893	13760	9195	8192	2182	13591	13127	20787	911	471	872	1978	3203	3989	7082	25730	2206	1017	4851	5171	2677	4111	1517	6822	6753	6527	253	222	154	289	412	328	548
722	come	come	vvn	0.08	  	57733	124.34	132.74	132.79	202.08	252.31	191.11	145.67	205.95	104.40	99.58	66.76	198.62	272.80	110.02	124.78	98.51	73.83	100.46	0.20	0.68	0.43	0.13	0.17	0.38	0.25	0.43	0.15	0.14	0.20	0.61	0.92	0.91	0.58	0.79	0.69	0.59	13274	13279	19734	30126	25023	13921	18624	9976	9133	6080	1979	4340	799	1306	1625	1132	2093	37445	2771	9423	5617	6631	4167	9443	8094	7767	7886	4255	545	426	193	299	423	347	538
723	growth	growth	nn1	0.06	  	57709	124.28	126.79	1.72	73.59	58.23	65.22	64.61	12.40	163.37	151.93	229.20	37.54	10.37	99.15	84.46	194.72	216.87	191.94	0.12	0.42	0.01	0.07	0.06	0.23	0.07	0.05	0.12	0.11	0.28	0.13	0.23	0.52	0.40	0.73	0.58	0.55	12679	172	7186	6953	8540	6174	1121	15611	13935	20872	374	165	720	884	3212	3325	3999	22305	1715	158	2910	2499	2506	2754	851	6267	6558	5875	112	106	110	206	392	289	500
724	record	record	nn1	0.06	  	57512	123.86	122.84	53.55	112.25	90.37	40.88	148.08	41.14	122.20	236.02	69.41	77.28	35.07	216.47	251.66	101.24	112.64	160.93	0.16	0.54	0.19	0.14	0.14	0.22	0.19	0.12	0.12	0.19	0.16	0.30	0.50	0.80	0.60	0.69	0.58	0.58	12284	5355	10962	10791	5353	14151	3720	11677	21647	6321	770	558	1572	2634	1670	1727	3353	30330	2169	4210	5811	5603	2411	7193	2062	6571	11004	3500	267	232	168	313	366	290	533
725	wrote	write	vvd	0.01	  	57469	123.77	95.50	29.52	123.51	107.70	85.84	118.18	80.59	143.92	152.24	122.70	59.62	128.73	74.50	70.61	106.15	73.18	132.23	0.16	0.45	0.10	0.11	0.12	0.23	0.17	0.19	0.14	0.15	0.21	0.28	0.66	0.69	0.44	0.55	0.46	0.41	9550	2952	12061	12860	11240	11294	7288	13753	13963	11174	594	2048	541	739	1751	1122	2755	30566	1829	2174	4814	4579	2516	6592	3509	7382	8513	4570	246	305	146	228	293	232	379
726	whatever	whatever	dd	0.22	  	57461	123.75	126.72	420.71	136.84	128.98	166.96	188.03	178.48	101.82	83.26	66.02	299.19	169.02	90.88	72.52	91.66	115.45	110.44	0.19	0.67	0.78	0.11	0.14	0.45	0.28	0.37	0.14	0.11	0.19	0.67	0.85	0.80	0.49	0.67	0.77	0.59	12672	42071	13363	15401	21861	17969	16140	9730	7636	6012	2981	2689	660	759	1512	1770	2301	35699	2705	17208	4566	5654	4896	10671	7000	7508	6570	3950	601	395	168	253	358	387	543
727	changes	change	nn2	0.03	  	57415	123.65	177.44	19.52	85.70	64.60	55.05	66.28	26.35	123.62	124.02	280.18	69.15	18.35	131.78	140.54	266.14	332.84	232.40	0.16	0.58	0.07	0.09	0.09	0.24	0.10	0.09	0.14	0.13	0.41	0.29	0.38	0.84	0.57	0.80	0.76	0.71	17744	1952	8369	7713	7208	6334	2383	11813	11375	25515	689	292	957	1471	4390	5103	4842	29352	2355	1637	3825	3458	2626	4000	1627	7371	7554	8800	254	177	177	293	426	379	649
728	serious	serious	jj	0.02	  	57309	123.42	119.03	185.28	123.55	105.27	86.97	160.36	90.41	127.37	119.66	117.12	66.74	89.76	123.38	178.38	134.34	157.13	116.25	0.19	0.61	0.50	0.14	0.15	0.35	0.23	0.24	0.17	0.15	0.27	0.32	0.80	0.84	0.63	0.73	0.73	0.62	11903	18528	12065	12569	11387	15325	8176	12171	10975	10666	665	1428	896	1867	2216	2409	2422	36379	2480	11030	5937	5771	3759	8766	4459	8799	8567	5788	285	373	177	324	389	367	565
729	daughter	daughter	nn1	0.03	  	57260	123.32	90.52	435.06	100.45	107.44	157.60	149.15	180.31	123.15	126.73	36.35	55.50	162.73	66.79	134.43	56.74	28.76	126.76	0.13	0.37	0.63	0.07	0.08	0.21	0.14	0.27	0.11	0.12	0.07	0.23	0.75	0.57	0.42	0.37	0.25	0.34	9052	43506	9809	12829	20636	14254	16305	11768	11623	3310	553	2589	485	1407	936	441	2641	24534	1513	13959	2973	3275	2238	5216	5144	5946	6816	1412	200	346	121	216	198	123	309
730	computer	computer	nn1	0.08	  	57171	123.13	133.10	41.40	47.29	0.13	0.02	77.44	89.17	189.11	138.13	120.45	86.61	30.49	133.43	106.44	287.66	150.34	135.78	0.11	0.37	0.11	0.03	0.00	0.00	0.08	0.13	0.11	0.10	0.16	0.24	0.27	0.56	0.41	0.54	0.34	0.43	13310	4140	4618	15	3	7401	8064	18071	12669	10969	863	485	969	1114	4745	2305	2829	20846	1519	2514	1244	11	3	3158	2382	6028	5935	3343	208	125	119	214	289	170	394
731	board	board	nn1	0.23	  	57133	123.04	133.28	43.94	159.39	156.16	70.38	77.36	62.07	120.77	247.30	108.83	103.68	83.16	110.30	196.25	168.66	87.53	191.65	0.13	0.54	0.11	0.13	0.16	0.24	0.10	0.14	0.11	0.16	0.18	0.34	0.57	0.77	0.53	0.75	0.42	0.61	13328	4394	15565	18646	9215	7393	5613	11541	22682	9911	1033	1323	801	2054	2782	1342	3993	25534	2170	2436	5494	6184	2567	3962	2549	5970	9174	3879	302	266	162	275	400	209	556
732	particularly	particularly	rr	0.02	  	57060	122.89	215.06	9.62	101.10	79.13	71.13	116.54	46.14	116.22	107.07	228.94	158.78	79.51	203.94	151.91	272.02	346.15	278.09	0.19	0.72	0.04	0.12	0.12	0.26	0.19	0.15	0.16	0.14	0.44	0.49	0.67	0.97	0.65	0.87	0.87	0.81	21506	962	9873	9448	9313	11137	4172	11106	9820	20849	1582	1265	1481	1590	4487	5307	5794	35840	2925	903	4989	4710	2840	7399	2707	8276	8107	9351	435	312	204	335	464	435	740
733	environmental	environmental	jj	0.20	  	57040	122.84	83.19	0.79	18.90	1.99	0.02	32.25	6.26	113.52	93.18	373.34	50.18	1.13	56.73	72.23	107.00	71.29	181.18	0.07	0.25	0.00	0.02	0.00	0.00	0.04	0.03	0.07	0.07	0.20	0.10	0.03	0.48	0.36	0.34	0.32	0.33	8319	79	1846	238	2	3082	566	10848	8546	33999	500	18	412	756	1765	1093	3775	13801	1031	66	818	90	2	1474	309	3863	3798	4357	84	15	101	187	184	159	301
734	systems	system	nn2	0.10	  	57039	122.84	169.87	2.50	53.80	24.00	19.49	39.07	21.49	140.68	94.78	320.95	36.63	10.25	69.68	47.68	437.95	275.25	192.46	0.11	0.42	0.01	0.05	0.04	0.11	0.06	0.06	0.11	0.09	0.34	0.16	0.16	0.58	0.31	0.75	0.65	0.52	16987	250	5254	2866	2552	3734	1943	13443	8693	29228	365	163	506	499	7224	4220	4010	21424	1692	231	2055	1396	1145	2283	910	6033	4953	7245	133	76	123	159	399	328	474
735	risk	risk	nn1	0.04	  	57020	122.80	102.81	51.79	39.35	24.23	26.84	95.76	24.86	159.16	90.16	243.19	36.33	28.60	73.95	107.01	86.87	203.04	156.51	0.12	0.44	0.18	0.05	0.04	0.15	0.12	0.09	0.12	0.09	0.25	0.18	0.45	0.67	0.49	0.57	0.57	0.50	10281	5179	3843	2893	3514	9151	2248	15209	8269	22146	362	455	537	1120	1433	3113	3261	23196	1803	3858	2006	1687	1620	4668	1510	6389	5274	5355	154	209	142	253	305	286	454
736	fine	fine	jj	0.14	  	57007	122.77	125.88	836.77	157.43	188.04	177.71	110.91	216.27	133.61	107.91	46.18	189.29	175.62	239.60	124.59	78.02	47.81	136.50	0.18	0.60	0.91	0.10	0.14	0.33	0.18	0.40	0.16	0.13	0.12	0.57	0.91	0.96	0.50	0.56	0.42	0.57	12588	83677	15374	22452	23269	10599	19557	12768	9897	4205	1886	2794	1740	1304	1287	733	2844	33238	2433	20042	4462	5360	3546	6930	7636	8763	7343	2566	511	423	203	258	301	212	525
737	knows	know	vvz	0.01	  	56981	122.72	79.39	368.05	137.87	138.86	124.17	157.47	183.86	110.85	120.89	39.81	125.96	153.68	82.07	87.90	38.62	37.83	72.28	0.18	0.50	0.75	0.10	0.13	0.32	0.24	0.34	0.14	0.15	0.12	0.43	0.91	0.77	0.45	0.47	0.42	0.41	7939	36805	13463	16580	16259	15049	16626	10593	11088	3625	1255	2445	596	920	637	580	1506	34507	2037	16384	4460	5161	3453	9316	6321	7720	8694	2456	381	420	163	231	253	209	380
738	financial	financial	jj	0.10	  	56893	122.53	161.31	12.83	70.02	63.39	20.13	87.41	15.22	134.75	218.12	156.85	80.89	19.36	107.82	183.54	185.87	147.73	335.11	0.13	0.50	0.05	0.09	0.10	0.12	0.11	0.06	0.11	0.17	0.22	0.24	0.29	0.64	0.57	0.78	0.54	0.62	16131	1283	6838	7569	2636	8353	1376	12877	20005	14284	806	308	783	1921	3066	2265	6982	24775	2027	1073	3786	3997	1252	4063	956	5630	9491	4635	205	133	135	294	417	272	571
739	tonight	tonight	rr	0.24	  	56864	122.46	65.09	376.24	94.36	67.19	5.23	406.25	121.92	21.81	51.20	2.65	184.17	138.66	25.06	172.84	4.43	1.30	18.43	0.10	0.26	0.55	0.06	0.07	0.02	0.26	0.24	0.03	0.05	0.01	0.34	0.81	0.22	0.35	0.08	0.03	0.12	6509	37624	9215	8023	685	38823	11025	2084	4696	241	1835	2206	182	1809	73	20	384	18924	1062	12025	2624	2785	251	9958	4549	1410	2848	159	296	377	46	179	42	15	107
740	staff	staff	nn1	0.16	  	56848	122.43	216.83	39.59	112.54	48.27	20.26	89.96	46.68	104.91	210.98	160.93	138.90	70.40	93.91	319.12	285.72	205.52	350.03	0.15	0.55	0.13	0.12	0.07	0.09	0.12	0.11	0.10	0.20	0.22	0.32	0.53	0.77	0.58	0.74	0.47	0.66	21683	3959	10990	5764	2653	8597	4221	10025	19351	14655	1384	1120	682	3340	4713	3151	7293	27916	2222	2763	5160	2890	1018	4660	1907	5563	11187	4599	278	247	162	299	393	236	607
741	behavior	behavior	nn1	0.05	US	56810	122.35	0.73	23.84	59.88	28.55	11.05	65.51	30.84	86.79	55.37	377.67	0.00	0.63	0.00	0.00	2.06	1.24	0.48	0.11	0.00	0.09	0.05	0.03	0.07	0.09	0.10	0.08	0.06	0.33	0.01	0.00	0.00	0.00	0.01	0.02	0.00	73	2384	5847	3409	1447	6260	2789	8294	5078	34393	0	10	0	0	34	19	10	20287	18	2052	1918	1156	750	3515	1831	4390	3567	6984	0	2	0	0	5	8	3
742	well	well	ii	0.46	  	56681	122.07	129.28	7.16	114.22	109.54	133.88	56.89	36.72	142.57	115.30	260.58	41.45	48.78	162.63	118.09	179.75	172.71	178.02	0.19	0.65	0.03	0.13	0.15	0.40	0.11	0.13	0.19	0.15	0.51	0.28	0.61	0.95	0.63	0.92	0.80	0.77	12928	716	11154	13079	17530	5437	3321	13624	10575	23730	413	776	1181	1236	2965	2648	3709	36219	2648	681	5738	6006	4361	4270	2251	10172	8710	10816	242	283	200	325	489	402	707
743	cup	cup	nn1	0.17	  	56660	122.03	117.47	29.68	58.63	43.08	39.13	19.85	87.35	307.41	181.48	10.03	116.12	121.56	190.31	519.95	19.52	7.31	67.10	0.07	0.32	0.11	0.04	0.04	0.13	0.03	0.20	0.09	0.06	0.02	0.25	0.75	0.59	0.36	0.20	0.10	0.29	11747	2968	5725	5144	5124	1897	7899	29376	16645	913	1157	1934	1382	5442	322	112	1398	13416	1294	2407	1662	1662	1457	1069	3673	4781	3470	423	215	347	125	187	106	51	263
744	cut	cut	vv0	0.17	  	56556	121.80	76.25	86.36	126.49	85.43	63.41	105.67	198.72	160.86	114.79	28.43	119.84	72.85	131.92	107.96	64.56	24.26	83.85	0.15	0.52	0.29	0.10	0.09	0.22	0.15	0.25	0.16	0.13	0.09	0.36	0.80	0.84	0.48	0.69	0.38	0.46	7625	8636	12352	10201	8303	10098	17970	15372	10528	2589	1194	1159	958	1130	1065	372	1747	28172	2089	6422	4126	3674	2355	5807	4693	8458	7282	1932	314	372	177	247	367	191	421
745	forward	forward	rr	0.02	  	56242	121.13	130.61	67.84	141.89	162.47	159.66	150.38	206.15	101.46	97.69	50.23	157.87	233.51	101.76	170.74	91.24	64.70	131.99	0.17	0.63	0.24	0.08	0.12	0.34	0.21	0.38	0.12	0.12	0.15	0.43	0.88	0.86	0.54	0.72	0.64	0.67	13061	6784	13856	19399	20906	14371	18642	9695	8960	4574	1573	3715	739	1787	1505	992	2750	31608	2569	5273	3568	4638	3656	8165	7105	6563	6592	3183	380	409	181	281	386	320	612
746	river	river	nn1	0.53	  	56026	120.66	90.86	21.45	153.81	191.53	210.77	48.54	147.71	176.33	137.99	93.71	36.63	136.90	125.03	94.40	103.42	46.11	107.22	0.10	0.35	0.06	0.08	0.10	0.28	0.05	0.21	0.10	0.09	0.11	0.12	0.67	0.58	0.37	0.42	0.22	0.38	9086	2145	15020	22869	27597	4639	13357	16850	12656	8534	365	2178	908	988	1706	707	2234	18543	1408	1212	3233	3901	2996	1987	3946	5290	5084	2236	99	311	123	190	222	112	351
747	result	result	nn1	0.02	  	55919	120.43	182.97	8.87	117.16	136.58	142.26	81.64	27.94	136.36	103.36	253.45	76.08	34.76	160.01	182.49	235.64	333.10	236.14	0.19	0.67	0.04	0.15	0.19	0.45	0.15	0.10	0.18	0.14	0.50	0.32	0.55	0.95	0.65	0.88	0.90	0.77	18297	887	11441	16308	18627	7802	2527	13030	9480	23081	758	553	1162	1910	3887	5107	4920	35343	2698	821	6269	7396	4928	5563	1836	9445	7881	10618	278	257	200	335	472	453	703
748	poor	poor	jj	0.10	  	55777	120.12	143.92	91.30	160.31	210.31	391.55	79.98	115.78	121.74	126.81	158.18	104.38	212.52	128.06	105.67	177.26	161.37	121.77	0.16	0.60	0.30	0.11	0.13	0.39	0.12	0.27	0.13	0.14	0.26	0.36	0.92	0.89	0.52	0.73	0.61	0.61	14392	9130	15655	25111	51268	7643	10470	11633	11631	14405	1040	3381	930	1106	2924	2474	2537	29890	2450	6500	4726	5018	4200	4675	5125	6726	7826	5538	318	425	188	270	388	305	556
749	happy	happy	jj	0.11	  	55759	120.08	111.66	585.98	123.09	141.16	200.51	176.23	175.77	114.68	100.50	31.33	182.66	197.93	142.94	151.91	52.74	25.89	110.49	0.17	0.57	0.83	0.09	0.10	0.31	0.23	0.36	0.14	0.13	0.09	0.54	0.89	0.90	0.54	0.54	0.36	0.54	11166	58598	12020	16855	26254	16841	15895	10959	9218	2853	1820	3149	1038	1590	870	397	2302	32191	2322	18155	3787	3986	3398	8978	6785	7345	7169	1914	480	413	190	280	286	182	491
750	earth	earth	nn1	0.57	  	55744	120.05	91.04	43.16	147.77	158.65	272.18	61.08	186.43	180.72	66.04	106.78	56.81	149.35	77.80	52.17	124.76	75.53	88.07	0.12	0.42	0.17	0.08	0.10	0.34	0.08	0.29	0.12	0.06	0.14	0.21	0.84	0.72	0.39	0.46	0.26	0.41	9104	4316	14430	18943	35639	5837	16859	17269	6057	9724	566	2376	565	546	2058	1158	1835	21764	1682	3639	3274	3947	3729	3105	5537	6585	3588	2949	181	391	151	204	246	131	378
751	games	game	nn2	0.14	  	55707	119.97	59.20	46.00	58.20	25.04	10.13	53.56	36.85	108.00	349.87	53.24	41.15	32.18	97.08	242.49	30.55	17.81	46.94	0.10	0.29	0.16	0.05	0.03	0.06	0.06	0.11	0.08	0.17	0.07	0.15	0.50	0.50	0.39	0.30	0.20	0.28	5920	4600	5683	2990	1326	5118	3332	10320	32089	4848	410	512	705	2538	504	273	978	19826	1182	3599	2207	1261	615	2412	2040	4179	9736	1459	124	231	105	204	162	98	258
752	TV	tv	nn1	1.00	  	55656	119.86	61.91	29.48	77.66	0.64	0.21	143.42	103.35	143.36	186.33	20.02	1.30	25.52	113.88	196.34	50.20	11.22	90.71	0.14	0.25	0.10	0.08	0.00	0.00	0.18	0.17	0.13	0.14	0.04	0.02	0.28	0.74	0.49	0.26	0.11	0.30	6191	2948	7584	77	27	13706	9346	13699	17090	1823	13	406	827	2055	828	172	1890	25869	1021	2181	3321	49	21	6888	3190	6670	8209	912	10	132	156	253	139	57	274
753	leaders	leader	nn2	0.03	  	55428	119.37	69.36	0.60	124.05	87.24	35.83	120.60	12.87	94.64	181.50	187.20	15.76	8.61	47.65	142.74	157.08	68.55	55.68	0.13	0.30	0.00	0.15	0.12	0.18	0.16	0.04	0.09	0.16	0.22	0.09	0.18	0.39	0.52	0.43	0.30	0.34	6936	60	12114	10417	4692	11525	1164	9044	16647	17048	157	137	346	1494	2591	1051	1160	25083	1199	53	6302	4883	1981	5945	667	4743	9121	4607	74	85	82	271	229	151	307
754	create	create	vv0	0.03	  	55404	119.32	79.46	15.60	46.55	26.86	21.90	89.04	25.22	177.38	121.13	181.83	34.83	14.02	133.85	72.14	104.09	99.79	115.29	0.18	0.49	0.06	0.07	0.06	0.15	0.15	0.09	0.20	0.15	0.38	0.19	0.31	0.83	0.45	0.76	0.68	0.57	7946	1560	4546	3207	2868	8509	2281	16950	11110	16559	347	223	972	755	1717	1530	2402	34843	1994	1418	2878	2181	1659	5658	1629	10878	8543	8135	168	144	176	235	406	342	523
755	moving	moving	nn1	0.06	  	55027	118.51	94.49	93.26	133.60	93.06	50.47	116.11	178.36	113.90	110.82	74.25	103.68	140.86	105.62	90.86	93.06	63.33	93.64	0.18	0.61	0.28	0.10	0.09	0.20	0.19	0.35	0.15	0.14	0.21	0.40	0.89	0.87	0.54	0.77	0.58	0.60	9449	9326	13046	11112	6609	11096	16129	10884	10164	6762	1033	2241	767	951	1535	971	1951	34349	2482	6150	4385	3717	2188	7154	6603	8042	8114	4436	356	412	183	280	412	289	550
756	price	price	nn1	0.16	  	54898	118.23	166.59	31.52	142.49	126.03	75.39	93.88	39.75	175.89	177.74	101.31	125.15	37.90	227.07	216.50	147.01	92.55	338.37	0.13	0.55	0.12	0.12	0.13	0.23	0.12	0.12	0.14	0.14	0.13	0.33	0.55	0.85	0.62	0.76	0.47	0.61	16659	3152	13915	15048	9871	8972	3595	16808	16302	9226	1247	603	1649	2266	2425	1419	7050	25155	2241	2565	5190	5241	2549	4471	2170	7567	8248	2699	289	255	180	319	407	235	556
757	arms	arm	nn2	0.04	  	54748	117.91	102.66	62.00	193.59	182.96	206.03	61.37	304.45	105.15	62.56	61.19	28.10	308.00	68.99	75.86	106.33	40.31	68.11	0.13	0.41	0.22	0.11	0.11	0.31	0.09	0.48	0.10	0.07	0.10	0.17	0.93	0.70	0.40	0.47	0.27	0.36	10266	6200	18905	21846	26977	5865	27531	10048	5738	5572	280	4900	501	794	1754	618	1419	23902	1651	4753	4511	4371	3347	3413	9209	5262	3926	2092	149	433	148	209	250	134	328
758	blue	blue	jj	0.23	  	54736	117.88	91.55	36.94	140.37	141.94	115.90	51.59	261.41	137.95	100.81	41.13	95.55	228.04	145.83	85.80	42.07	24.26	74.49	0.14	0.44	0.12	0.08	0.09	0.20	0.08	0.46	0.14	0.11	0.08	0.27	0.92	0.83	0.47	0.38	0.25	0.43	9155	3694	13708	16948	15176	4930	23639	13182	9246	3746	952	3628	1059	898	694	372	1552	26813	1798	2711	3474	3489	2183	3000	8669	7377	6084	1683	233	428	175	243	202	127	390
759	guys	guy	nn2	0.05	  	54671	117.74	11.26	424.91	42.10	9.56	0.19	231.48	118.15	98.57	128.50	7.28	20.47	20.62	32.77	15.19	2.97	0.78	6.53	0.13	0.10	0.70	0.03	0.01	0.00	0.25	0.19	0.09	0.12	0.02	0.12	0.16	0.32	0.13	0.04	0.02	0.06	1126	42491	4111	1141	25	22121	10684	9419	11786	663	204	328	238	159	49	12	136	25393	394	15477	1300	362	19	9548	3524	5003	6912	406	98	74	67	68	24	8	55
760	girls	girl	nn2	0.11	  	54540	117.46	89.45	90.92	137.17	168.11	96.10	92.82	183.20	98.10	111.96	103.88	100.36	156.95	62.24	97.45	81.48	67.90	76.36	0.10	0.35	0.25	0.06	0.08	0.15	0.09	0.27	0.08	0.07	0.08	0.26	0.77	0.50	0.37	0.28	0.23	0.30	8945	9092	13395	20073	12583	8870	16567	9374	10269	9460	1000	2497	452	1020	1344	1041	1591	18410	1419	5427	2666	3133	1668	3387	5068	4069	4104	1782	229	356	105	190	150	116	273
761	thanks	thanks	nn2	0.52	  	54370	117.09	59.25	594.32	59.48	43.34	37.77	346.30	102.80	65.78	39.94	22.42	167.11	98.68	62.38	60.86	19.64	7.83	55.48	0.16	0.43	0.85	0.04	0.05	0.15	0.42	0.23	0.09	0.06	0.08	0.48	0.73	0.76	0.38	0.29	0.14	0.41	5925	59432	5808	5175	4945	33094	9296	6286	3663	2042	1665	1570	453	637	324	120	1156	30335	1728	18649	1868	1911	1670	16154	4347	5021	3198	1615	431	337	161	198	153	72	376
762	living	live	vvg	0.08	  	54358	117.07	92.68	116.07	106.93	105.27	108.90	108.13	112.19	133.99	114.42	116.29	78.08	95.92	91.57	91.82	123.98	90.79	91.24	0.18	0.54	0.36	0.10	0.12	0.32	0.17	0.29	0.16	0.14	0.24	0.31	0.83	0.77	0.47	0.64	0.54	0.55	9268	11607	10442	12569	14259	10333	10145	12804	10494	10590	778	1526	665	961	2045	1392	1901	33268	2171	7838	4417	4719	3488	6500	5515	8369	7775	5109	271	385	162	242	341	270	500
763	players	player	nn2	0.07	  	54257	116.85	78.57	3.47	40.39	18.59	4.00	55.90	18.85	109.96	339.39	61.24	22.58	16.22	218.67	377.59	24.98	8.41	62.06	0.09	0.19	0.01	0.04	0.02	0.03	0.05	0.06	0.07	0.16	0.07	0.07	0.17	0.38	0.38	0.21	0.09	0.22	7857	347	3944	2220	524	5342	1705	10508	31128	5577	225	258	1588	3952	412	129	1293	17152	774	324	1500	974	274	2070	932	3614	9063	1473	55	80	80	197	113	47	202
764	treatment	treatment	nn1	0.06	  	54234	116.80	120.51	31.19	57.77	46.83	38.93	73.36	19.86	120.13	85.13	287.08	32.12	22.69	98.73	139.02	139.56	316.53	98.06	0.10	0.43	0.09	0.06	0.07	0.18	0.08	0.07	0.09	0.08	0.26	0.15	0.36	0.64	0.48	0.54	0.64	0.51	12051	3119	5641	5592	5098	7011	1796	11479	7808	26143	320	361	717	1455	2302	4853	2043	19193	1763	2058	2605	2577	2008	3195	1095	4991	4484	5428	130	169	136	250	291	321	466
765	analysis	analysis	nn1	0.11	  	54084	116.48	130.26	3.92	47.11	26.58	14.74	34.14	11.92	48.25	44.56	450.73	26.50	7.92	29.06	22.17	170.29	418.74	142.26	0.10	0.37	0.02	0.04	0.04	0.09	0.06	0.04	0.06	0.05	0.47	0.12	0.17	0.44	0.24	0.62	0.80	0.42	13026	392	4600	3174	1930	3263	1078	4611	4087	41046	264	126	211	232	2809	6420	2964	18995	1516	348	1732	1561	968	2261	641	3127	2901	10065	102	80	93	124	332	401	384
766	need	need	nn1	0.01	  	54067	116.44	175.56	71.99	109.45	90.43	60.23	61.02	76.05	111.44	94.80	241.80	110.60	133.88	103.00	119.43	213.40	273.75	221.21	0.18	0.68	0.26	0.11	0.12	0.26	0.11	0.22	0.15	0.12	0.46	0.36	0.83	0.87	0.60	0.84	0.83	0.75	17556	7199	10688	10797	7886	5831	6877	10649	8695	22020	1102	2130	748	1250	3520	4197	4609	33141	2751	5764	4737	4750	2792	4301	4130	7816	7107	9787	322	383	184	309	449	418	686
767	course	course	nn1	0.02	  	54055	116.42	191.79	17.68	110.21	136.35	216.17	70.79	64.86	123.90	110.03	214.13	217.29	86.36	165.52	189.56	186.05	226.33	283.90	0.14	0.68	0.07	0.11	0.16	0.47	0.12	0.18	0.13	0.11	0.31	0.51	0.75	0.85	0.55	0.76	0.83	0.71	19179	1768	10762	16280	28304	6765	5865	11840	10092	19500	2165	1374	1202	1984	3069	3470	5915	27247	2737	1537	4523	6198	5120	4553	3283	6742	6143	6526	451	348	180	286	405	414	653
768	success	success	nn1	0.05	  	54042	116.39	130.64	25.67	87.60	101.33	136.82	75.67	32.40	135.42	137.12	201.68	45.87	43.43	168.96	212.39	143.62	122.82	202.25	0.17	0.59	0.09	0.11	0.13	0.40	0.12	0.11	0.16	0.16	0.35	0.19	0.59	0.86	0.64	0.80	0.67	0.71	13064	2567	8554	12099	17915	7231	2930	12941	12576	18366	457	691	1227	2223	2369	1883	4214	31485	2373	2023	4475	5081	4397	4750	1925	8298	9119	7393	168	274	182	331	427	338	653
769	outside	outside	ii	0.07	  	53755	115.77	117.41	36.48	103.52	80.72	35.41	95.86	127.33	108.69	126.50	121.81	76.98	141.30	92.12	137.01	122.46	135.60	121.14	0.19	0.64	0.14	0.11	0.11	0.19	0.17	0.31	0.15	0.16	0.30	0.36	0.90	0.85	0.53	0.78	0.77	0.67	11741	3648	10109	9638	4637	9161	11514	10386	11602	11093	767	2248	669	1434	2020	2079	2524	35834	2600	3064	4824	4473	2092	6516	5878	7854	9191	6395	315	419	180	273	415	385	613
770	heard	hear	vvd	0.01	  	53703	115.66	92.14	260.69	180.41	209.62	175.53	160.72	289.14	57.13	53.15	20.47	80.89	312.40	34.84	141.40	27.34	13.70	50.11	0.14	0.41	0.62	0.08	0.11	0.27	0.23	0.47	0.07	0.07	0.06	0.36	0.95	0.52	0.39	0.35	0.24	0.30	9214	26069	17618	25029	22983	15359	26147	5459	4875	1864	806	4970	253	1480	451	210	1044	26931	1661	13549	3407	4261	2899	8814	8977	3877	3925	1338	320	443	110	203	189	121	275
