TS,soundSpel,note,Rondthaler,SSmatchRond,pronunciation,longNote,multipleTS,multipleSS,alternatives,British
Titans,Tietans,,,NA,,,,,,
titbit,titbit,,titbit,T,,,,,,
titbits,titbits,,,NA,,,,,,
titer,tieter,,tieter,T,,,,,,
titers,tieters,,tieters,T,,,,,,
tithe,tieth,,tieth,T,,,,,,
tithed,tiethd,,,NA,,,,,,
tithes,tieths,,tieths,T,,,,,,
tithing,tiething,,tiething,T,,,,,,
titillate,titilaet,,titilaet,T,,,,,,
titillated,titilaeted,,,NA,,,,,,
titillates,titilaets,,,NA,,,,,,
titillating,titilaeting,,titilaeting,T,,,,,,
titillation,titilaeshon,,,NA,,,,,,
titivate,titivaet,,titivaet,T,,,,,,
title,tietl,,tietl,T,,,,,,
titled,tietld,,tietld,T,,,,,,
titleholder,tietlhoelder,,tietlhoelder,T,,,,,,
titleholders,tietlhoelders,,,NA,,,,,,
titles,tietls,,tietls,T,,,,,,
titling,tietling,,,NA,,,,,,
titmouse,titmous,,titmous,T,,,,,,
titrate,tietraet,,,NA,,,,,,
titrated,tietraeted,,,NA,,,,,,
titrates,tietraets,,,NA,,,,,,
titrating,tietraeting,,,NA,,,,,,
titration,tietraeshon,,tietraeshun,F,,,,,,
titrations,tietraeshons,,,NA,,,,,,
titre,tieter,,tieter,T,,,,,,
titres,tieters,,,NA,,,,,,
tits,tits,,tits,T,,,,,,
titter,titer,,titer,T,,,,,,
tittered,titerd,,titerd,T,,,,,,
tittering,titering,,titering,T,,,,,,
titters,titers,,titers,T,,,,,,
titular,tichular,*,titchular,F,,,,,,
to,to,1,to,T,,explicit exception:/too/,,,,
toad,toed,,toed,T,,,,,,
toadies,toedys,,toedys,T,,,,,,
toads,toeds,,,NA,,,,,,
toadstool,toedstool,,toedstool,T,,,,,,
toadstools,toedstools,,,NA,,,,,,
toady,toedy,,,NA,,,,,,
toast,toest,,toest,T,,,,,,
toasted,toested,,toested,T,,,,,,
toaster,toester,,toester,T,,,,,,
toasters,toesters,,toesters,T,,,,,,
toasting,toesting,,toesting,T,,,,,,
toastmaster,toestmaster,,toestmaster,T,,,,,,
toastmasters,toestmasters,,,NA,,,,,,
toasts,toests,,toests,T,,,,,,
tobacco,tobaco,,tobaco,T,,,,,,
tobacconist,tobaconist,,tobaconist,T,,,,,,
tobacconists,tobaconists,,,NA,,,,,,
tobaccos,tobacoes,,tobacoes,T,,,,,,
tobogan,tobogan,,,NA,,,,,,
tobogans,tobogans,,,NA,,,,,,
tocotta,tocota,,tocota,T,,,,,,
tocsin,toksin,,tocsin,F,,,,,,
tocsins,toksins,,,NA,,,,,,
today,todae,,today,F,,,,,,
today’s,todae’s,,,NA,,,,,,
toddle,todl,,todl,T,,,,,,
toddler,todler,,todler,T,,,,,,
toddlers,todlers,,,NA,,,,,,
toddling,todling,,todling,T,,,,,,
toddy,tody,,tody,T,,,,,,
toe,toe,,toe,T,,,,,,
toed,toed,,toed,T,,,,,,
toehold,toehoeld,,toehoeld,T,,,,,,
toeholds,toehoelds,,,NA,,,,,,
toeing,toeing,,toeing,T,,,,,,
toeless,toeles,,,NA,,,,,,
toenail,toenael,,toenael,T,,,,,,
toenails,toenaels,,toenaels,T,,,,,,
toes,toes,,toes,T,,,,,,
toes’,NO_TRANSLATION,!,,NA,,,,,,
toe’s,NO_TRANSLATION,!,,NA,,,,,,
toffee,tofy,,toffy,F,,,,,,
toffees,tofees,,,NA,,,,,,
tofu,toefoo,,,NA,,,,,,
tog,tog,,,NA,,,,,,
toga,toega,,toega,T,,,,,,
togas,toegas,,,NA,,,,,,
together,together,,together,T,,,,,,
togetherness,togethernes,,togethernes,T,,,,,,
toggle,togl,,togl,T,,,,,,
toggled,togld,,,NA,,,,,,
toggles,togls,,,NA,,,,,,
toggling,togling,,,NA,,,,,,
togs,togs,,togs,T,,,,,,
toil,toil,,toil,T,,,,,,
toiled,toild,,toild,T,,,,,,
toilet,toilet,,toilet,T,,,,,,
toiletries,toiletrys,,,NA,,,,,,
toiletry,toiletry,,,NA,,,,,,
toilets,toilets,,toilets,T,,,,,,
toiling,toiling,,toiling,T,,,,,,
toils,toils,,toils,T,,,,,,
toilsome,toilsum,,toilsum,T,,,,,,
toilworn,toilworn,,toilworn,T,,,,,,
token,toeken,,toeken,T,,,,,,
token,toeken,,toeken,T,,,,,,
tokenism,toekenizm,,,NA,,,,,,
tokens,toekens,,toekens,T,,,,,,
tokens’,NO_TRANSLATION,!,,NA,,,,,,
token’s,NO_TRANSLATION,!,,NA,,,,,,
told,toeld,,toeld,T,,,,,,
tole,toel,,toel,T,,,,,,
tolerable,tolerabl,,tolerabl,T,,,,,,
tolerably,tolerably,,,NA,,,,,,
tolerance,toleranss,,tolerans,F,,,,,,
tolerances,toleranses,,,NA,,,,,,
tolerant,tolerant,,tolerant,T,,,,,,
tolerate,toleraet,,toleraet,T,,,,,,
tolerated,toleraeted,,toleraeted,T,,,,,,
tolerates,toleraets,,toleraets,T,,,,,,
tolerating,toleraeting,,toleraeting,T,,,,,,
toleration,toleraeshon,,toleraeshun,F,,,,,,
tolerations,toleraeshons,,,NA,,,,,,
toll,toel,,toel,T,,,,,,
tollbooth,toelbooth,,toelbooth,T,,,,,,
tollbooths,toelbooths,,,NA,,,,,,
tolled,toeld,,toeld,T,,,,,,
tollgate,toelgaet,,toelgaet,T,,,,,,
tollgates,toelgaets,,toelgaets,T,,,,,,
tollhouse,toelhous,,toelhous,T,,,,,,
tollhouses,toulhouzes,,,NA,,,,,,
tolling,toeling,,toeling,T,,,,,,
tolls,toels,,toels,T,,,,,,
tomahauk,tomahauk,,tomahauk,T,,,,,,
tomahauks,tomahauks,,tomahauks,T,,,,,,
tomato,tomaeto,,tomaeto,T,,,,,,
tomatoes,tomaetoes,,tomaetoes,T,,,,,,
tomb,toom,,toom,T,,,,,,
tomblike,toomliek,,toomliek,T,,,,,,
tomboy,tomboy,,tomboy,T,,,,,,
tomboys,tomboys,,tomboys,T,,,,,,
tomboys’,tomboys’,,,NA,,,,,,
tomboy’s,tomboy’s,,,NA,,,,,,
tombs,tooms,,tooms,T,,,,,,
tombstone,toomstoen,,toomstoen,T,,,,,,
tombstones,toomstoens,,toomstoens,T,,,,,,
tombs’,NO_TRANSLATION,!,,NA,,,,,,
tomb’s,NO_TRANSLATION,!,,NA,,,,,,
tomcat,tomcat,,tomcat,T,,,,,,
tomcats,tomcats,,,NA,,,,,,
tome,toem,,toem,T,,,,,,
tomes,toems,,toems,T,,,,,,
ton,tun,,tun,T,,,,,,
tonal,toenal,,toenal,T,,,,,,
tonalities,toenalitys,,toenalitys,T,,,,,,
tonality,toenality,,,NA,,,,,,
tonally,toenaly,,toenaly,T,,,,,,
tone,toen,,toen,T,,,,,,
toned,toend,,,NA,,,,,,
toneless,toenles,,toenles,T,,,,,,
tonelessly,toenlesly,,,NA,,,,,,
toner,toener,,toener,T,,,,,,
toners,toeners,,,NA,,,,,,
tones,toens,,toens,T,,,,,,
tones’,NO_TRANSLATION,!,,NA,,,,,,
tone’s,NO_TRANSLATION,!,,NA,,,,,,
tong,tong,,tong,T,,,,,,
tongs,tongs,,tongs,T,,,,,,
tongue,tung,,tung,T,,,,,,
tongued,tungd,,tungd,T,,,,,,
tongues,tungs,,tungs,T,,,,,,
tonguing,tunging,,,NA,,,,,,
tonic,tonik,,tonic,F,,,,,,
tonics,toniks,,tonics,F,,,,,,
tonight,toniet,,toniet,T,,,,,,
tonights,toniets,,toniets,T,,,,,,
toning,toening,,,NA,,,,,,
tonnage,tunej,,tunej,T,,,,,,
tons,tuns,,tuns,T,,,,,,
too,too,,too,T,,,,,,
toodled,toodld,*,,NA,,,,,,
toodles,toodls,*,,NA,,,,,,
toodling,toodling,*,toodling,T,,,,,,
took,tuuk,,tuuk,T,,,,,,
tool,tool,,tool,T,,,,,,
toolbar,toolbar,,,NA,,,,,,
toolbars,toolbars,,,NA,,,,,,
toolbars’,NO_TRANSLATION,!,,NA,,,,,,
toolbar’s,NO_TRANSLATION,!,,NA,,,,,,
toolbox,toolbox,,toolbox,T,,,,,,
toolboxes,toolboxes,,,NA,,,,,,
tooled,toold,,,NA,,,,,,
toolhouse,toolhous,*,toolhous,T,,,,,,
toolhouses,toolhouzes,*,,NA,,,,,,
tooling,tooling,,tooling,T,,,,,,
toolmaker,toolmaeker,,toolmaeker,T,,,,,,
toolmakers,toolmaekers,,,NA,,,,,,
toolmakers’,NO_TRANSLATION,!,,NA,,,,,,
toolmaker’s,NO_TRANSLATION,!,,NA,,,,,,
toolroom,toolroom,,toolroom,T,,,,,,
toolrooms,toolrooms,,,NA,,,,,,
tools,tools,,tools,T,,,,,,
tools’,NO_TRANSLATION,!,,NA,,,,,,
tool’s,NO_TRANSLATION,!,,NA,,,,,,
toot,toot,,toot,T,,,,,,
tooted,tooted,,,NA,,,,,,
tooth,tooth,,tooth,T,,,,,,
toothache,toothaek,,toothaek,T,,,,,,
toothaches,toothaeks,,,NA,,,,,,
toothbrush,toothbrush,,toothbrush,T,,,,,,
toothbrushes,toothbrushes,,toothbrushes,T,,,,,,
toothbrushing,toothbrushing,,,NA,,,,,,
toothless,toothles,,toothles,T,,,,,,
toothlessly,toothlesly,,,NA,,,,,,
toothpaste,toothpaest,,toothpaest,T,,,,,,
toothpick,toothpik,,toothpik,T,,,,,,
toothpicks,toothpiks,,toothpiks,T,,,,,,
toothsome,toothsum,,toothsum,T,,,,,,
toothy,toothy,,,NA,,,,,,
tooth’s,NO_TRANSLATION,!,,NA,,,,,,
tooting,tooting,,tooting,T,,,,,,
toots,toots,,toots,T,,,,,,
top,top,,top,T,,,,,,
topic,topik,,topic,F,,,,,,
topical,topikal,,topical,F,,,,,,
topically,topikaly,,,NA,,,,,,
topics,topiks,,topics,F,,,,,,
topped,topt,,topt,T,,,,,,
topping,toping,,toping,T,,,,,,
topple,topl,,topl,T,,,,,,
toppled,topld,,topld,T,,,,,,
topples,topls,,,NA,,,,,,
toppling,topling,,topling,T,,,,,,
tops,tops,,tops,T,,,,,,
torn,torn,,torn,T,,,,,,
torque,tork,,tork,T,,,,,,
tort,tort,,,NA,,,,,,
tortoise,tortus,,tortoss,F,,,,,tortos,
toss,tos,,toss,F,,,,,,
toss-up,tos-up,,,NA,,,,,,
toss-ups,tos-ups,,,NA,,,,,,
tossed,tost,,tosst,F,,,,,,
tosses,toses,,tosses,F,,,,,,
tossing,tosing,,tossing,F,,,,,,
total,toetal,,toetal,T,,,,,,
totaled,toetald,,toetald,T,,,,,,
totaling,toetaling,,toetaling,T,,,,,,
totalitarian,toetalitaerian,,toetalitairian,F,,,,,,
totalitarianism,toetalitaerianizm,,toetalitairianism,F,,,,,,
totalitarians,toetalitaerians,,,NA,,,,,,
totality,toetality,,toetality,T,,,,,,
totally,toetaly,,toetaly,T,,,,,,
totals,toetals,,toetals,T,,,,,,
touch,tuch,,tuch,T,,,,,,
touchdown,tuchdoun,,tuchdoun,T,,,,,,
touchdowns,tuchdouns,,tuchdouns,T,,,,,,
touched,tucht,,tucht,T,,,,,,
touches,tuches,,tuches,T,,,,,,
touchily,tuchily,,tuchily,T,,,,,,
touchiness,tuchynes,,tuchynes,T,,,,,,
touching,tuching,,tuching,T,,,,,,
touchstone,tuchstoen,,tuchstoen,T,,,,,,
touchstones,tuchstoens,,tuchstoens,T,,,,,,
touchy,tuchy,,tuchy,T,,,,,,
tournament,tuurnament,,turnament,F,,,,,,
tournaments,tuurnaments,,turnaments,F,,,,,,
tow,toe,,toe,T,,,,,,
toward,tord,,tord,T,,,,,toword,
towards,NO_TRANSLATION,!,tords,F,,,,,,
towed,toed,,toed,T,,,,,,
towing,toeing,,,NA,,,,,,
tows,toes,,,NA,,,,,,
toy,toy,,toy,T,,,,,,
toyed,toyd,,toyd,T,,,,,,
toys,toys,,toys,T,,,,,,
trace,traess,,traes,F,,,,,,
traceability,traesability,,,NA,,,,,,
traceable,traesabl,,traesabl,T,,,,,,
traced,traest,,traest,T,,,,,,
tracer,traeser,,,NA,,,,,,
tracers,traesers,,traesers,T,,,,,,
tracery,traesery,,traesery,T,,,,,,
traces,traeses,,traeses,T,,,,,,
tracing,traesing,,traesing,T,,,,,,
tracings,traesings,,traesings,T,,,,,,
track,trak,,trak,T,,,,,,
tracked,trakt,,trakt,T,,,,,,
tracker,traker,,,NA,,,,,,
trackers,trakers,,,NA,,,,,,
tracking,traking,,traking,T,,,,,,
tracks,traks,,traks,T,,,,,,
trade,traed,,traed,T,,,,,,
traded,traeded,,traeded,T,,,,,,
trader,traeder,,traeder,T,,,,,,
traders,traeders,,traeders,T,,,,,,
trades,traeds,,traeds,T,,,,,,
trading,traeding,,traeding,T,,,,,,
tradition,tradishon,,tradishun,F,,,,,,
traditional,tradishonal,,tradishunal,F,,,,,,
traditionally,tradishonaly,,tradishunaly,F,,,,,,
traditions,tradishons,,tradishuns,F,,,,,,
traffic,trafik,,trafic,F,,,,,,
trafficked,trafikt,,trafikt,T,,,,,,
trafficker,trafiker,,,NA,,,,,,
traffickers,trafikers,,,NA,,,,,,
trafficking,trafiking,,,NA,,,,,,
tragedies,trajedys,,trajedys,T,,,,,,
tragedy,trajedy,,trajedy,T,,,,,,
tragic,trajik,,trajic,F,,,,,,
tragically,trajikaly,,trajicaly,F,,,,,,
trail,trael,,trael,T,,,,,,
trailed,traeld,,traeld,T,,,,,,
trailing,traeling,,traeling,T,,,,,,
trails,traels,,traels,T,,,,,,
train,traen,,traen,T,,,,,,
trainable,traenabl,,,NA,,,,,,
trained,traend,,traend,T,,,,,,
training,traening,,traening,T,,,,,,
trains,traens,,traens,T,,,,,,
trait,traet,,traet,T,,,,,,
traits,traets,,traets,T,,,,,,
tram,tram,,,NA,,,,,,
tramp,tramp,,tramp,T,,,,,,
tramped,trampt,,trampt,T,,,,,,
tramping,tramping,,tramping,T,,,,,,
trample,trampl,,trampl,T,,,,,,
trampled,trampld,,trampld,T,,,,,,
trampling,trampling,,trampling,T,,,,,,
trampoline,trampoleen,,trampoleen,T,,,,,,
trampolines,trampoleens,,,NA,,,,,,
tramps,tramps,,tramps,T,,,,,,
tramway,tramwae,,tramway,F,,,,,,
tramways,tramwaes,,,NA,,,,,,
trance,transs,,trans,F,,,,,,
trance,transs,,trans,F,,,,,,
trances,transes,,transes,T,,,,,,
transact,tranzakt,,transact,F,,,,,,
transacted,tranzakted,,,NA,,,,,,
transacting,tranzakting,,,NA,,,,,,
transaction,tranzakshon,,transacshun,F,,,,,,
transactions,tranzakshons,,transacshuns,F,,,,,,
transacts,tranzakts,,,NA,,,,,,
transcribe,transcrieb,,transcrieb,T,,,,,,
transcribed,transcriebd,,transcriebd,T,,,,,,
transcribes,transcriebs,,transcriebs,T,,,,,,
transcribing,transcriebing,,transcriebing,T,,,,,,
transcript,transcript,,transcript,T,,,,,,
transcription,transcripshon,,transcripshun,F,,,,,,
transcriptions,transcripshons,,transcripshuns,F,,,,,,
transcripts,transcripts,,transcripts,T,,,,,,
transfer,transfer,,transfer,T,,,,,,
transfers,transfers,,transfers,T,,,,,,
transform,transform,,transform,T,,,,,,
transform,transforming,,transform,F,,,,,,
transformed,transformd,,transformd,T,,,,,,
transformer,transformer,,transformer,T,,,,,,
transformers,transformers,,transformers,T,,,,,,
transforms,transforms,,transforms,T,,,,,,
transfuse,transfuez,,transfuez,T,,,,,,
transfused,transfuezd,,transfuezd,T,,,,,,
transfuses,transfuezes,,transfuezes,T,,,,,,
transfusing,transfuezing,,transfuezing,T,,,,,,
transfusion,transfuezhon,,transfuezhun,F,,,,,,
transfusions,transfuezhons,,transfuezhuns,F,,,,,,
transgress,tranzgres,,transgres,F,,,,,,
transgressed,transgrest,,transgrest,T,,,,,,
transgresses,transgreses,,,NA,,,,,,
transgressing,tranzgresing,,transgresing,F,,,,,,
transgression,tranzgreshon,,transgreshun,F,,,,,,
transgressions,tranzgreshons,,,NA,,,,,,
transience,transhenss,,transhens,F,,,,,,
transience,tranzhenss,,transhens,F,,,,,,
transience,tranzi’enss,,transhens,F,,,,,,
transient,transhent,,transhent,T,,,,,,
transient,tranzhent,,transhent,F,,,,,,
transient,tranzi’ent,,transhent,F,,,,,,
transistor,tranzistor,,tranzistor,T,,,,,,
transistors,tranzistors,,tranzistors,T,,,,,,
transit,transit,,transit,T,,,,,,
transit,tranzit,,transit,F,,,,,,
transited,transited,,transited,T,,,,,,
transited,tranzited,,transited,F,,,,,,
transiting,transiting,,transiting,T,,,,,,
transiting,tranziting,,transiting,F,,,,,,
transition,tranzishon,,tranzishun,F,,,,,,
transitions,tranzishons,,tranzishuns,F,,,,,,
transits,transits,,,NA,,,,,,
transits,tranzits,,,NA,,,,,,
translate,translaet,,translaet,T,,,,,,
translated,translaeted,,translaeted,T,,,,,,
translates,translaets,,translaets,T,,,,,,
translating,translaeting,,translaeting,T,,,,,,
translation,translaeshon,,translaeshun,F,,,,,,
translations,translaeshons,,translaeshuns,F,,,,,,
translator,translaetor,,translaetor,T,,,,,,
translators,translaetors,,translaetors,T,,,,,,
transmission,transmishon,,transmishun,F,,,,,,
transmissions,transmishons,,,NA,,,,,,
transmit,transmit,,transmit,T,,,,,,
transmits,transmits,,transmits,T,,,,,,
transmitted,transmited,,transmited,T,,,,,,
transmitter,transmiter,,transmiter,T,,,,,,
transmitters,transmiters,,,NA,,,,,,
transmitting,transmiting,,transmiting,T,,,,,,
transmutation,transmuetaeshon,,transmuetaeshun,F,,,,,,
transmutations,transmuetaeshons,,,NA,,,,,,
transmute,transmuet,,transmuet,T,,,,,,
transmuted,transmueted,,transmueted,T,,,,,,
transmutes,transmuets,,,NA,,,,,,
transmuting,transmueting,,,NA,,,,,,
transparencies,transpaerensys,,,NA,,,,,,
transparency,transpaerensy,,transpairensy,F,,,,,,
transparent,transpaerent,,transpairent,F,,,,,,
transparently,transpaerently,,transpairently,F,,,,,,
transpire,transpier,,transpier,T,,,,,,
transpired,transpierd,,transpierd,T,,,,,,
transpires,transpiers,,transpiers,T,,,,,,
transpiring,transpiering,,transpiering,T,,,,,,
transport,transport,,transport,T,,,,,,
transportation,transportaeshon,,transportaeshun,F,,,,,,
transportational,transportaeshonal,,,NA,,,,,,
transported,transported,,transported,T,,,,,,
transporting,transporting,,transporting,T,,,,,,
transports,transports,,transports,T,,,,,,
transpose,transpoez,,transpoez,T,,,,,,
transposed,transpoezd,,transpoezd,T,,,,,,
transposes,transpoezes,,,NA,,,,,,
transposing,transpoezing,,,NA,,,,,,
trap,trap,,trap,T,,,,,,
trapeze,trapeez,,trapeez,T,,,,,,
trapezes,trapeezes,,trapeezes,T,,,,,,
trapped,trapt,,trapt,T,,,,,,
trapper,traper,,traper,T,,,,,,
trappers,trapers,,trapers,T,,,,,,
trappers',trapers’,,,NA,,,,,,
trapper’s,traper’s,,,NA,,,,,,
trapping,traping,,traping,T,,,,,,
traps,traps,,traps,T,,,,,,
trash,trash,,trash,T,,,,,,
trashed,trasht,,,NA,,,,,,
trashes,trashes,,,NA,,,,,,
trashing,trashing,,,NA,,,,,,
trashy,trashy,,trashy,T,,,,,,
travel,travel,,travel,T,,,,,,
traveled,traveld,,traveld,T,,,,,,
traveler,traveler,,traveler,T,,,,,,
travelers,travelers,,travelers,T,,,,,,
traveling,traveling,,traveling,T,,,,,,
travels,travels,,travels,T,,,,,,
travesties,travestys,,,NA,,,,,,
travesty,travesty,,travesty,T,,,,,,
tray,trae,,tray,F,,,,,,
trays,traes,,trays,F,,,,,,
tread,tred,,tred,T,,,,,,
treaded,treded,,,NA,,,,,,
treading,treding,,treding,T,,,,,,
treadmill,tredmil,,tredmil,T,,,,,,
treadmills,tredmils,,tredmils,T,,,,,,
treads,treds,,treds,T,,,,,,
treason,treezon,,treezon,T,,,,,,
treasonous,treezonus,,treezonus,T,,,,,,
treasonously,treezonusly,,,NA,,,,,,
treasons,treezons,,,NA,,,,,,
treason’s,treezon’s,,,NA,,,,,,
treble,trebl,,trebl,T,,,,,,
tree,tree,,tree,T,,,,,,
treed,treed,,,NA,,,,,,
treeing,treeing,,,NA,,,,,,
trees,trees,,trees,T,,,,,,
tremble,trembl,,trembl,T,,,,,,
trembled,trembld,,trembld,T,,,,,,
trembles,trembls,,trembls,T,,,,,,
trembling,trembling,,trembling,T,,,,,,
trend,trend,,trend,T,,,,,,
trended,trended,,,NA,,,,,,
trendier,trendyer,,,NA,,,,,,
trendiest,trendyest,,,NA,,,,,,
trending,trending,,,NA,,,,,,
trends,trends,,trends,T,,,,,,
trendy,trendy,,,NA,,,,,,
triad,triead,,triead,T,,,,,,
triads,trieads,,trieads,T,,,,,,
trial,trieal,,trieal,T,,,,,,
trials,trieals,,trieals,T,,,,,,
tribal,triebal,,triebal,T,,,,,,
tribe,trieb,,trieb,T,,,,,,
tribes,triebs,,triebs,T,,,,,,
trick,trik,,trik,T,,,,,,
tricked,trikt,,trikt,T,,,,,,
trickery,trikery,,trikery,T,,,,,,
tricking,triking,,triking,T,,,,,,
trickle,trikl,,trikl,T,,,,,,
trickled,trikld,,,NA,,,,,,
trickles,trikls,,,NA,,,,,,
trickling,trikling,,trikling,T,,,,,,
tricks,triks,,triks,T,,,,,,
tricky,triky,,triky,T,,,,,,
trident,triedent,,triedent,T,,,,,,
tridents,triedents,,,NA,,,,,,
tried,tried,,tried,T,,,,,,
tries,tries,,tries,T,,,,,,
trigger,triger,,triger,T,,,,,,
trigger-happy,trigerhapy,,,NA,,,,,,
triggered,trigerd,,trigerd,T,,,,,,
triggering,trigering,,trigering,T,,,,,,
triggers,trigers,,trigers,T,,,,,,
trill,tril,,tril,T,,,,,,
trilled,trild,,trild,T,,,,,,
trilling,triling,,,NA,,,,,,
trills,trils,,,NA,,,,,,
trinities,trinitys,,,NA,,,,,,
trinity,trinity,,trinity,T,,,,,,
trip,trip,,trip,T,,,,,,
tripe,triep,,,NA,,,,,,
triple,tripl,,tripl,T,,,,,,
tripled,tripld,,tripld,T,,,,,,
triples,tripls,,,NA,,,,,,
triplet,triplet,,triplet,T,,,,,,
triplets,triplets,,triplets,T,,,,,,
tripling,tripling,,tripling,T,,,,,,
triply,triply,,,NA,,,,,,
tripped,tript,,tript,T,,,,,,
trippier,tripyer,,,NA,,,,,,
trippiest,tripyest,,,NA,,,,,,
tripping,triping,,triping,T,,,,,,
trippy,tripy,,,NA,,,,,,
trips,trips,,trips,T,,,,,,
trite,triet,,triet,T,,,,,,
triteness,trietnes,,,NA,,,,,,
triumph,trieumf,,trieumf,T,,,,,,
triumphal,trieumfal,,trieumfal,T,,,,,,
triumphed,trieumft,,,NA,,,,,,
triumphing,trieumfing,,,NA,,,,,,
triumphs,trieumfs,,trieumfs,T,,,,,,
trivial,trivial,,trivial,T,,,,,,
trivialities,trivialitys,,,NA,,,,,,
triviality,triviality,,triviality,T,,,,,,
triviality’s,triviality’s,,,NA,,,,,,
troche,NO_TRANSLATION,!,troeky,F,,,,,,
trochee,NO_TRANSLATION,!,troeky,F,,,,,,
troglodyte,troglodiet,,troglodiet,T,,,,,,
troglodytes,troglodiets,,,NA,,,,,,
troglodytes’,troglodiets’,,,NA,,,,,,
troglodyte’s,troglodiet’s,,,NA,,,,,,
troll,troel,,,NA,,,,,,
trolley,troly,,troly,T,,,,,,
trolleys,trolys,,trolys,T,,,,,,
trollop,trolop,,trolop,T,,,,,,
trollops,trolops,,,NA,,,,,,
trollops’,trolops’,,,NA,,,,,,
trollop’s,trolop’s,,,NA,,,,,,
trolls,troels,,troels,T,,,,,,
trolls’,troels’,,,NA,,,,,,
troll’s,troel’s,,,NA,,,,,,
trombone,tromboen,,tromboen,T,,,,,,
trombones,tromboens,,tromboens,T,,,,,,
trombonist,tromboenist,,tromboenist,T,,,,,,
trombonists,tromboenists,,tromboenists,T,,,,,,
trombonists’,tromboenists’,,,NA,,,,,,
trombonist’s,tromboenist’s,,,NA,,,,,,
troop,troop,,troop,T,,,,,,
trooped,troopt,,troopt,T,,,,,,
trooper,trooper,,trooper,T,,,,,,
troopers,troopers,,troopers,T,,,,,,
troopers’,troopers’,,,NA,,,,,,
trooper’s,troop’s,,,NA,,,,,,
trooping,trooping,,trooping,T,,,,,,
troops,troops,,troops,T,,,,,,
troopship,troopship,,troopship,T,,,,,,
troopships,troopships,,,NA,,,,,,
troops’,troops’,,,NA,,,,,,
troop’s,troop’s,,,NA,,,,,,
trope,troep,,troep,T,,,,,,
tropes,troeps,,,NA,,,,,,
trophies,troefys,,troefys,T,,,,,,
trophy,troefy,,troefy,T,,,,,,
trophy’s,troefy’s,,,NA,,,,,,
tropic,tropik,,tropic,F,,,,,,
tropical,tropikaly,,tropical,F,,,,,,
tropics,tropiks,,tropics,F,,,,,,
trot,trot,,trot,T,,,,,,
trotter,troter,,troter,T,,,,,,
trotters,troters,,troters,T,,,,,,
trotting,troting,,troting,T,,,,,,
troubadour,troobador,*,troobador,T,,,,,,
troubadours,troobadors,,troobadors,T,,,,,,
troubadours’,troodabors’,,,NA,,,,,,
troubadour’s,troobador’s,,,NA,,,,,,
trouble,trubl,,trubl,T,,,,,,
trouble,trubl,,trubl,T,,,,,,
troubled,trubld,,trubld,T,,,,,,
troubled,trubld,,trubld,T,,,,,,
troublemaker,trublmaeker,,trublmaeker,T,,,,,,
troublemakers,trublmaekers,,trublmaekers,T,,,,,,
troublemakers’,trublmaekers’,,,NA,,,,,,
troublemaker’s,trublmaeker’s,,,NA,,,,,,
troubles,trubls,,trubls,T,,,,,,
troubles,trubls,,trubls,T,,,,,,
troubleshoot,trublshoot,,,NA,,,,,,
troubleshooter,trublshooter,,trublshooter,T,,,,,,
troubleshooters,trublshooters,,,NA,,,,,,
troubleshooters’,trublshooters’,,,NA,,,,,,
troubleshooter’s,trublshooter’s,,,NA,,,,,,
troubleshooting,trublshooting,,,NA,,,,,,
troublesome,trublsum,,trublsum,T,,,,,,
troubling,trubling,,trubling,T,,,,,,
troubling,trubling,,trubling,T,,,,,,
troup,troop,,troop,T,,,,,,
troupe,troop,,troop,T,,,,,,
troupes,troops,*,troops,T,,,,,,
troups,troop,,,NA,,,,,,
trouser,trouzer,,trouzer,T,,,,,,
trousers,trouzers,,trouzers,T,,,,,,
trout,trout,,trout,T,,,,,,
trouts,trouts,,,NA,,,,,,
trouts’,trouts’,,,NA,,,,,,
trout’s,trout’s,,,NA,,,,,,
trowel,trowel,,trowel,T,,,,,,
troweling,troweling,,troweling,T,,,,,,
trowels,trowels,,trowels,T,,,,,,
truck,truk,,truk,T,,,,,,
truckdriver,trukdriever,,trukdriever,T,,,,,,
truckdrivers,trukdrievers,,trukdrievers,T,,,,,,
truckdrivers’,trukdrievers’,,,NA,,,,,,
truckdriver’s,trukdriever’s,,,NA,,,,,,
trucked,trukt,,trukt,T,,,,,,
trucker,truker,,truker,T,,,,,,
truckers,trukers,,trukers,T,,,,,,
truckers’,trukers’,,,NA,,,,,,
trucker’s,truker’s,,,NA,,,,,,
trucking,truking,,truking,T,,,,,,
truckload,trukloed,,trukloed,T,,,,,,
truckloads,trukloeds,,trukloeds,T,,,,,,
truckload’s,trukloed’s,,,NA,,,,,,
truckman,trukman,,trukman,T,,,,,,
truckman’s,trukman’s,,,NA,,,,,,
truckmen,trukmen,,trukmen,T,,,,,,
truckmen’s,trukmen’s,,,NA,,,,,,
trucks,truks,,truks,T,,,,,,
trudge,truj,,,NA,,,,,,
trudged,trujd,,trujd,T,,,,,,
trudges,trujes,,,NA,,,,,,
trudging,trujing,,,NA,,,,,,
true,troo,,troo,T,,,,,,
trump,trump,,trump,T,,,,,,
trumped,trumpt,,,NA,,,,,,
trumpet,trumpet,,trumpet,T,,,,,,
trumpeted,trumpeted,,,NA,,,,,,
trumpeter,trumpeter,,trumpeter,T,,,,,,
trumpeters,trumpeters,,trumpeters,T,,,,,,
